Date Value,Month-Year,Quarter-FY,Annual-FY,Annual-CY,Call Wait Time (minutes) (Monthly),TARGET: Call Wait Time (minutes) - under (Monthly),No. of Estimated Bills (Monthly),Total Bills (including Est. Bills) (Monthly),Estimated Bill Percentage (Monthly),Water Main Breaks (Annual FY),Cumulative Miles of Water Main Replaced (Annual),TARGET: Cumulative Miles of Water Main Replaced (Annual),Per Capita Water Use (gallons per day) (Annually),TARGET: Per Capita Water Use (gallons per day) (Annually),Water Purchased from MWD (Annually),TARGET: Water Purchased from MWD (Monthly),% of DWP Water Sourced From Local Groundwater (Annually),TARGET: % of DWP Water Sourced From Local Groundwater (Annually),CO2 Emissions from all owned and purchased power generation ( in million metric tons) (Annually CY),TARGET: CO2 Emissions from all owned and purchased power generation ( in million metric tons) (Annually CY),Renewables Percentage (Annually),TARGET: Renewables Percentage (Annually),kWh of Power from Energy Efficiency (Monthly FY),TARGET: kWh of Power from Energy Efficiency (Monthly FY),% of DWP power sourced from Coal (Annually CY),TARGET: % of DWP power sourced from Coal (Annually),Cumulative FiT Installations (in KW) (Quarterly),TARGET: Cumulative FiT Installations (in MW) (Quarterly) - TARGET DATE 2016,SIP Installed Capacity (kW) (Quarterly FY),SIP Cumulative Capacity (kW) (Quarterly FY),Avg Interconnect Time (days) (Quarterly FY),TARGET: Avg Interconnect Time (days) (Quarterly FY),"Once Through Cooling (OTC) Flow, (MGD) (Annually CY)","TARGET: Once Through Cooling (OTC) Flow, (MGD) (Annually)",Recycled Water Use in Acre Feet (Monthly),Recycled Water Use in Acre Feet (Annual),TARGET: Recycled Water Use in Acre Feet (Annual),System Average Interruption Frequency Index - SAIFI (Annual),TARGET: System Average Interruption Frequency Index - SAIFI (Annual),System Average Interruption Duration Index: SAIDI (Annual),TARGET: System Average Interruption Duration Index: SAIDI (Annual),"Power Poles Replaced, Installed and Reinforced (Annual FY)","TARGET: Power Poles Replaced, Installed, and Reinforced (Annual FY)"
2006-09-30T00:00:00,Sep-06,Q1 FY07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31T00:00:00,Dec-06,Q2 FY07,,CY 2006,,,,,,,,,147,,,,,,,,6.00,,,,48.00,,,,,,,,1571.00,,,,,,,,,,
2007-03-31T00:00:00,Mar-07,Q3 FY07,,,,,,,,,,,,,,,,,,,,,,,,,,,323.57,10118.91,,,,,,,,,,,,,
2007-06-30T00:00:00,Jun-07,Q4 FY07,FY 2007,,,,,,,2031.00,14.00,,,,43.80,,13.90,,,,,,,,,,,,351.97,10470.87,,,,,,,,,,,,,
2007-09-30T00:00:00,Sep-07,Q1 FY08,,,,,,,,,,,,,,,,,,,,,,,,,,,430.78,10901.66,,,,,,,,,,,,,
2007-12-31T00:00:00,Dec-07,Q2 FY08,,CY 2007,,,,,,,,,156,,,,,,,,6.00,,,,45.00,,,,415.21,11316.87,,,1571.00,,,,,,,,,,
2008-03-31T00:00:00,Mar-08,Q3 FY08,,,,,,,,,,,,,,,,,,,,,,,,,,,621.52,11938.39,,,,,,,,,,,,,
2008-06-30T00:00:00,Jun-08,Q4 FY08,FY 2008,,,,,,,1363.00,29.00,,,,64.70,,11.30,,,,,,,,,,,,610.56,12548.94,,,,,,,,0.79,0.89,122.00,93.00,,
2008-09-30T00:00:00,Sep-08,Q1 FY09,,,,,,,,,,,,,,,,,,,,,,,,,,,520.47,13069.42,,,,,,,,,,,,,
2008-12-31T00:00:00,Dec-08,Q2 FY09,,CY 2008,,,,,,,,,151,,,,,,,,8.00,,,,44.00,,,,1314.41,14383.83,,,1571.00,,,,,,,,,,
2009-03-31T00:00:00,Mar-09,Q3 FY09,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.52,16368.35,,,,,,,,,,,,,
2009-06-30T00:00:00,Jun-09,Q4 FY09,FY 2009,,,,,,,1422.00,47.00,,,,70.90,,10.10,,,,,,,,,,,,879.15,17247.50,,,,,,,,0.69,0.89,78.10,93.00,2745,2975
2009-09-30T00:00:00,Sep-09,Q1 FY10,,,,,,,,,,,,,,,,,,,,,,,,,,,841.51,18089.01,,,,,,,,,,,,,
2009-12-31T00:00:00,Dec-09,Q2 FY10,,CY 2009,,,,,,,,,141,,,,,,14.60,,14.00,,,,41.00,,,,1233.20,19322.20,,,1571.00,,,,,,,,,,
2010-03-31T00:00:00,Mar-10,Q3 FY10,,,,,,,,,,,,,,,,,,,,,,,,,,,765.62,20087.83,,,,,,,,,,,,,
2010-06-30T00:00:00,Jun-10,Q4 FY10,FY 2010,,,,,,,1453.00,63.00,,,,47.70,,14.20,,,,,,,,,,,,1809.91,22663.36,,,,,,,,0.84,0.89,120.70,93.00,3113,2975
2010-09-30T00:00:00,Sep-10,Q1 FY11,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.19,25124.55,,,,,,,,,,,,,
2010-12-31T00:00:00,Dec-10,Q2 FY11,,CY 2010,,,,,,,,,125,,,,,,13.80,,20.00,20.00,,,39.00,,,,3940.34,29064.89,52,,1571.00,,,,,,,,,,
